
01/01/2018	31.3	17.7
02/01/2018	32.3	20.2
03/01/2018	31.7	22.4
04/01/2018	29.7	20.4
05/01/2018	24.5	19.0
06/01/2018	26.5	17.3
07/01/2018	30.2	19.0
08/01/2018	31.3	17.4
09/01/2018	31.4	19.2
10/01/2018	31.5	20.1
11/01/2018	32.0	18.2
12/01/2018	29.0	18.5
13/01/2018	30.7	18.7
14/01/2018	29.8	19.0
15/01/2018	30.7	19.4
16/01/2018	30.4	20.2
17/01/2018	31.5	20.2
18/01/2018	29.9	19.3
19/01/2018	30.5	20.3
20/01/2018	23.9	18.1
21/01/2018	30.6	19.0
22/01/2018	29.7	20.9
23/01/2018	31.5	21.4
24/01/2018	28.8	20.3
25/01/2018	27.3	17.5
26/01/2018	28.5	17.6
27/01/2018	28.7	17.7
28/01/2018	31.3	19.4
29/01/2018	33.4	21.1
30/01/2018	34.5	20.6
31/01/2018	31.9	19.6
01/02/2018	33.0	19.9
02/02/2018	33.2	19.8
03/02/2018	26.7	18.2
04/02/2018	20.1	15.4
05/02/2018	20.5	15.5
06/02/2018	23.6	15.1
07/02/2018	27.6	15.2
08/02/2018	29.0	17.8
09/02/2018	31.3	18.8
10/02/2018	31.6	19.3
11/02/2018	30.1	20.9
12/02/2018	27.7	19.9
13/02/2018	20.0	16.6
14/02/2018	24.6	15.9
15/02/2018	18.6	15.4
16/02/2018	20.9	15.5
17/02/2018	22.7	16.3
18/02/2018	29.1	17.2
19/02/2018	26.7	17.4
20/02/2018	27.1	17.9
21/02/2018	28.1	16.5
22/02/2018	28.3	17.5
23/02/2018	30.9	18.7
24/02/2018	31.2	21.9
25/02/2018	30.5	17.5
26/02/2018	21.5	16.2
27/02/2018	19.3	16.6
28/02/2018	23.4	16.5
01/03/2018	24.8	17.4
02/03/2018	28.2	17.8
03/03/2018	28.7	16.1
04/03/2018	28.1	16.8
05/03/2018	29.7	17.5
06/03/2018	30.9	18.8
07/03/2018	26.8	18.2
08/03/2018	28.4	19.0
09/03/2018	28.7	19.6
10/03/2018	22.1	18.3
11/03/2018	21.4	15.3
12/03/2018	27.2	15.2
13/03/2018	28.3	19.0
14/03/2018	27.7	18.0
15/03/2018	27.0	19.1
16/03/2018	25.0	18.4
17/03/2018	24.4	17.8
18/03/2018	24.4	17.8
19/03/2018	30.0	20.8
